timestamp,reason
2026-09-08 03:31:19,Looking away from screen
2026-09-08 03:31:24,Looking away from screen
2026-09-08 03:31:29,Looking away from screen
2026-09-08 03:31:34,Looking away from screen
2026-09-08 03:31:39,Looking away from screen
2026-09-08 03:31:44,Looking away from screen
2026-09-08 03:31:53,Looking away from screen
2026-09-08 03:31:58,Looking away from screen
2026-09-08 03:32:35,Looking away from screen
2026-09-08 03:32:40,Looking away from screen
2026-09-08 03:32:44,No face detected
2026-09-08 03:32:45,Looking away from screen
2026-09-08 03:32:50,Looking away from screen
